Service_Category,Service_Type,Link_to_Documentation,Google_Cloud_Product,Google_Cloud_Product_Description,AWS_Offering,Azure_Offering
Security & identity,Encryption,https://cloud.google.com/confidential-computing,Confidential Computing,Encrypt data in-use with Confidential VM and Confidential Google Kubernetes Engine Nodes.,AWS Nitro Enclaves,Azure Confidential Computing
Security & Identity,Encryption,https://cloud.google.com/confidential-computing/confidential-space/docs/confidential-space-overview,Confidential Space,A Trusted Execution Environment (TEE) for secure multi-party collaboration that lets organizations preserve the confidentiality and ownership of their data.,AWS Nitro Enclaves,Confidential Containers on AKS
Media,Encoding and streaming,https://cloud.google.com/livestream/,Live Stream API,Encode and transform live video content for use across a variety of user devices.,AWS MediaLive,Azure Media Services
Media,Encoding and streaming,https://cloud.google.com/transcoder/docs,Transcoder API,"Convert video files and package them for optimized delivery to web, mobile, and connected TVs.",AWS Media Convert,Azure Media Services
Web proxy,Egress security,https://cloud.google.com/secure-web-proxy,Secure Web Proxy,Helps you secure egress HTTP(S) traffic as a proxy service.,,Azure Firewall Explicit proxy (preview)
Networking,Domains and DNS,https://cloud.google.com/dns,Cloud DNS,Publish your zones and records in DNS without the burden of managing your own DNS servers and software.,Amazon Route 53,Azure DNS
Artificial intelligence & machine learning,Document understanding,https://cloud.google.com/document-ai,Document AI,Automate data capture at scale to reduce document processing costs.,Amazon Textract,Azure AI Document Intelligence
Database,Document data storage,https://cloud.google.com/firestore,Firestore,"Easily develop rich applications using a fully managed, scalable, and serverless document database.","Amazon DocumentDB, Amazon DynamoDB",Azure Cosmos DB
Developer tools,Development environment,https://cloud.google.com/workstations,Cloud Workstations,"A fully customizable, managed development environment with built-in security that is provisioned in your VPC network on Google Cloud.",AWS Cloud9,GitHub Codespaces
Compute,Deployment,https://cloud.google.com/workload-manager/docs/about-evaluations,Workload Manager (Guided Deployment Automation),Configure and deploy enterprise applications on Google Cloud.,AWS Launch Wizard,Azure Center for SAP solutions
Serverless,Database,https://firebase.google.com/products/data-connect,Firebase Data Connect,"Store and query data with secured, serverless GraphQL APIs to build and scale your apps using a fully managed PostgreSQL database that is powered by Cloud SQL.",AWS AppSync,
Serverless apps,Database,https://firebase.google.com/docs/data-connect,Firebase Data Connect,"Store and query data with secure, serverless GraphQL APIs to build and scale your app using a fully-managed PostgreSQL database powered by Cloud SQL.",AWS AppSync,
Migration,Data warehouse migration,https://cloud.google.com/bigquery/docs/migration-intro,BigQuery Migration Service,A comprehensive solution for migrating your data warehouse to BigQuery.,AWS Schema Conversion Tool,
Data analytics,Data warehouse,https://cloud.google.com/bigquery,BigQuery,"Serverless, highly scalable, and cost-effective multi-cloud data warehouse designed for business agility.",Amazon Redshift,Azure Synapse Analytics
Migration,Data transfer,https://cloud.google.com/bigquery/docs/dts-introduction,BigQuery Data Transfer Service,"Automate secured data movement from data sources (including Cloud Storage, Amazon S3, Azure Blob Storage, and Salesforce) into BigQuery on a scheduled or on-demand basis.",AWS Appflow,Azure Data Factory
Backup & disaster recovery,Data protection,https://cloud.google.com/backup-disaster-recovery,Backup and DR Service,"A centrally-managed backup and recovery service for Google Cloud workloads that helps protect backup data from ransomware and malicious or accidental deletion. Back up Compute Engine VMs, VMWare VMs, databases, and file systems in one place.",AWS Backup,Azure Backup
Backup & disaster recovery,Data Protection,https://cloud.google.com/kubernetes-engine/docs/add-on/backup-for-gke/concepts/backup-for-gke,Backup for GKE,A service for backing up and restoring workloads in GKE clusters.,,AKS backup
Data analytics,Data processing,https://cloud.google.com/dataproc,Dataproc,"Managed Hadoop and Spark services for data engineering, data science, and machine learning.","Amazon Elastic MapReduce (EMR), AWS Batch, AWS Glue","Azure Data Lake Analytics, HDInsight, Azure Databricks"
Data analytics,Data processing,https://cloud.google.com/dataform,Dataform,Develop and operationalize scalable data transformations pipelines in BigQuery using SQL.,,
Security & identity,Data loss prevention (DLP),https://cloud.google.com/dlp,Sensitive Data Protection (including Cloud Data Loss Prevention and DLP API),"Discover, classify, and help protect your most sensitive cloud data.","Amazon Macie, Amazon Bedrock Guardrails",Microsoft Purview
Data analytics,Data integration / ETL,https://cloud.google.com/data-fusion,Cloud Data Fusion,"Implement fully managed, cloud-first data integration at scale.",AWS Glue,Azure Data Factory
Compute,Data framework,https://cloud.google.com/solutions/cortex,Google Cloud Cortex Framework,A foundation with packaged solution content to help you get started quickly with Data Cloud.,,
Data analytics,Data discovery and metadata management,https://cloud.google.com/dataplex,Dataplex,"Discover, curate, manage, and trust distributed data at scale with powerful search and integration with BigQuery, Vertex AI, Cloud Storage, and operational databases. Dataplex empowers comprehensive data discovery, end-to-end lineage tracking, enhanced data quality, and robust governance.","Amazon DataZone, AWS Glue",Azure Purview
Artificial intelligence & machine learning,Customer support assistance,https://cloud.google.com/solutions/contact-center-ai-platform,Google Cloud Contact Center as a Service (CCaaS),An AI-driven Contact Center as a Service (CCaaS) platform that queues and routes customer interactions across voice and digital channels.,AWS Connect,Microsoft Dynamics Contact Center
Artificial intelligence & machine learning,Customer support assistance,https://cloud.google.com/agent-assist,Agent Assist,Machine learning technology that provides suggestions to your human agents when they are in a conversation with a customer.,Amazon Q in Connect,Dynamics 365 Contact Center
Artificial intelligence & machine learning,"Customer service, contact center",https://cloud.google.com/solutions/customer-engagement-ai,Customer Engagement Suite with Google AI,"An end-to-end customer experience application with industry leading conversational AI that delivers self-service, human agents assistance, and valuable operational insights.",Amazon Connect,Microsoft Dynamics 365 Contact Center
Artificial intelligence & machine learning,Customer engagement support,https://cloud.google.com/contact-center/insights/docs,Conversational Insights,"Analyze customer conversations with topic modeling, sentiment analysis, and automatic conversation scoring to gain insights like emerging trends and pain points.",Contact Lens,Dynamics 365 Customer Service
Compute,Core compute,https://cloud.google.com/gpu,Cloud GPUs,Train and run machine learning models faster than before.,"Amazon Elastic Compute Cloud (EC2) VM family (Trn1, Inf1, and P5)","Azure ND VM family (H100, H200, MI300x, and others)"
Compute,Core compute,https://cloud.google.com/tpu,Cloud TPU,Train and run machine learning models faster than ever before.,"Amazon Elastic Compute Cloud (EC2) VM family (Trn1, Inf1, and P5)","Azure ND VM family (H100, H200, MI300x, and others)"
Compute,Core compute,https://cloud.google.com/compute/docs/disks/local-ssd,Local SSD,"Support workloads that require high performance, low latency temporary storage. Local SSD disks are always-encrypted solid-state storage for Compute Engine VMs.",AWS Nitro SSD,NVMe disks
Compute,Core compute,https://cloud.google.com/compute,Compute Engine,Accelerate your digital transformation with high-performance VMs.,Amazon Elastic Compute Cloud (EC2),Azure Virtual Machines
Compute,Core compute,https://cloud.google.com/compute/docs/autoscaler,Compute Engine Autoscaler,Automatically create or delete virtual machines in a managed instance group (MIG) based on demand or resource utilization.,AWS EC2 Autoscaling,"Azure Autoscale, Azure Virtual Machine Scale Sets"
Compute,Core compute,https://cloud.google.com/compute/docs/oslogin,OS Login,Use IAM to manage SSH access to your Linux VM instances without having to create and manage individual SSH keys.,Amazon EC2 Instance Connect,
Compute,Core compute,https://cloud.google.com/products/block-storage,Google Cloud Hyperdisk,"Reliable, high-performance block storage for VM instances.",Amazon Elastic Block Store (EBS),Azure Managed Disks
Compute,Core compute,https://cloud.google.com/compute/docs/ssh-in-browser,SSH-in-browser,Connect to a Compute Engine virtual machine (VM) instance using SSH with the Google Cloud console in your web browser.,AWS EC2 Instance Connect,Azure Bastion
Compute,Core Compute,https://cloud.google.com/compute/docs/vm-manager,VM Manager,"Manage operating systems for large virtual machine (VM) fleets running Windows and Linux on Compute Engine. A fully managed offering that lets you gather OS inventory, manage patching, and check for OS compliance, including the ability to detect vulnerabilities while the VM is running.",AWS Systems Manager,Azure Update Manager
Artificial intelligence & machine learning,Conversational interface,https://cloud.google.com/dialogflow,Dialogflow and Conversational Agents,Lifelike conversational AI with state-of-the-art virtual agents.,Amazon Lex,Azure Conversational AI
Container services,Container Security,https://cloud.google.com/binary-authorization,Binary Authorization,"Allows for monitoring, auditing, or enforcing a set of policies for runtime workloads, including signature validation. Binary Authorization aims to ensure that software is sourced, built, tested, and released according to internal best practices to reduce the attack surface.",,
Security & identity,Container security,https://cloud.google.com/artifact-analysis/,Artifact Analysis,"Perform vulnerability scans on container images in Artifact Registry and Container Registry, and monitor vulnerability information to keep it up to date.",Amazon ECR Image Scanning,Azure Defender for container registries
Artifact management,Container registry,https://cloud.google.com/artifact-registry,Artifact Registry,"Store, manage, and secure your container images.","Amazon Elastic Container Registry (ECR), AWS CodeArtifact","Azure Container Registry, Azure Artifacts"
Migration,Container migration,https://cloud.google.com/migrate/containers,Migrate to Containers,Simplifies and accelerates application modernization by intelligently extracting and migrating applications to run on containers in GKE and GKE Enterprise clusters.,AWS App2Container,Azure Migrate: App Containerization
Artificial intelligence & machine learning,Container images,https://cloud.google.com/deep-learning-containers/docs/overview,Deep Learning Containers,Preconfigured Docker containers for deep learning applications.,AWS Deep Learning Containers,Azure Machine Learning Curated Environments
Container Services,Container configuration management,https://cloud.google.com/kubernetes-engine/enterprise/config-sync/docs/overview,Config Sync,A managed GitOps solution to deploy configs and applications across multiple clusters from a source of truth.,,Azure Arc for GitOps
Cloud services,Compliance and data sovereignty,https://cloud.google.com/sovereign-controls-by-partners/docs/overview,Sovereign Controls by Partners,"Provide data sovereignty controls for Google Cloud workloads, operated by partners",AWS European Sovereign Cloud,Microsoft Cloud for Sovereignty
Cloud services,Compliance and data sovereignty,https://cloud.google.com/assured-workloads/docs/eu-sovereign-controls-restrictions-limitations,Sovereign Controls for EU,Provide data sovereignty controls for Google Cloud workloads in the European Union (EU).,AWS European Sovereign Cloud,Microsoft Cloud for Sovereignty
Cloud services,Compliance and data sovereignty,https://cloud.google.com/assured-workloads/docs/ksa-sovereign-controls-restrictions-limitations,Sovereign Controls for Kingdom of Saudi Arabia,Provide data sovereignty controls for Google Cloud workloads in the Kingdom of Saudi Arabia (KSA).,,
Developer tools,Command-line interface (CLI),https://cloud.google.com/sdk,Google Cloud SDK,Tools and libraries for interacting with Google Cloud products and services.,AWS CLI,Azure CLI
Container Services,Cluster management,https://cloud.google.com/kubernetes-engine/docs/concepts/autopilot-overview,GKE Autopilot,"A mode of operation that lets Google manage your cluster configuration, including your nodes, scaling, security, and other preconfigured settings.",AWS Fargate with Amazon EKS,Azure AKS Automatic
Container Services,Cluster management,https://cloud.google.com/kubernetes-engine/fleet-management/docs/connect-agent,Connect),"Connect to Kubernetes clusters within your fleet, whether they reside in Google Cloud or other environments, even if they are not publicly accessible over the internet. The connect gateway lets you securely access and manage these clusters by providing consistent authentication and authorization mechanisms, regardless of their location.",,
Container Services,Cluster management,https://cloud.google.com/kubernetes-engine/docs/fleets-overview,Fleets,"A GKE fleet is a way to group together multiple Kubernetes clusters, whether they're on Google Cloud or not, so that you can manage them as one unit. Fleets helps to simplify management activies such as applying consistent configurations, enforcing security policies, and monitoring your workloads across all your clusters.",,Azure Kubernetes Fleet Manager
Container Services,Cluster management,https://cloud.google.com/kubernetes-engine/fleet-management/docs/team-management,Fleet team management,"Lets you define the subsets of resources (clusters and namespaces) within a fleet and assign them to specific teams. This management provides granular control over what teams can access and how teams can manage different parts of the fleet, enhancing security and organizational efficiency.",,
Developer tools,Cloud-based IDE,https://cloud.google.com/shell,Cloud Shell,Manage your infrastructure and develop your applications from any browser.,AWS CloudShell,Azure Cloud Shell
Security,Cloud provider access management,https://cloud.google.com/assured-workloads/key-access-justifications/docs/overview,Key Access Justifications,View logged justifications for each access request to Cloud KMS keys and optionally set a policy to authorize key access requests based on the provided justification code.,,
Security & identity,Cloud provider access management,https://cloud.google.com/access-transparency,Access Transparency and Access Approval,Help expand visibility and control over your cloud provider with admin access logs and approval controls.,"Claims no access to customer data, even by request. Metadata access is logged using a Support Role in CloudTrail.",Customer Lockbox for Microsoft Azure
Developer tools,Cloud development IDE plugin,https://cloud.google.com/code,Cloud Code for IntelliJ,"Write, debug, and deploy your cloud-based applications for IntelliJ.",AWS Toolkit for IntelliJ,Azure Toolkit for IntelliJ
Developer tools,Cloud development IDE plugin,https://cloud.google.com/code,Cloud Code for VS Code,"Write, debug, and deploy your cloud-based applications for VS Code.",AWS Toolkit for Visual Studio Code,Azure Tools for Visual Studio Code
Artificial intelligence & machine learning,Cloud cost optimization,https://cloud.google.com/recommender,Recommender,"Optimize your Google Cloud usage with proactive, easily actionable recommendations.",AWS Cost Optimization,Azure Cost Management
Developer tools,Client libraries,https://cloud.google.com/sdk,Google Cloud SDK,Tools and libraries for interacting with Google Cloud products and services.,AWS SDKs,Azure SDKs
Developer tools,Client development IDE plugin,https://cloud.google.com/code/docs/shell/overview,Cloud Code for Cloud Shell,"Write, debug, and deploy your cloud-based application for Cloud Shell Editor.",,
Security & identity,CIAM,https://cloud.google.com/identity-platform,Identity Platform,Add Google-grade identity and access management to your apps.,Amazon Cognito,Azure Active Directory B2C
Container services,CI/CD,https://cloud.google.com/deploy,Cloud Deploy,Deliver continuously to services such as Google Kubernetes Engine and Cloud Run.,"AWS CodePipeline, AWS CodeDeploy","Azure DevOps, GitHub Enterprise"
Serverless,CI/CD,https://cloud.google.com/build,Cloud Build,"Build, test, and deploy to Google Cloud runtime environments.","AWS CodeBuild, AWS CodeDeploy, AWS CodePipeline","Azure DevOps, GitHub Enterprise"
Security & identity,Certificate management,https://cloud.google.com/certificate-authority-service,Certificate Authority Service,Simplify the deployment and management of private certificate authorities without managing infrastructure.,AWS Private Certificate Authority (AWS Private CA),
Networking,CDN,https://cloud.google.com/cdn,Cloud CDN,"Serve web and HTTP(S) content globally and in a secure manner using the low-latency, global Google Front End (GFE).",Amazon CloudFront,Azure Front Door
Networking,CDN,https://cloud.google.com/media-cdn,Media CDN,Deliver exceptional media content through Google's planet-scale cache network.,Amazon CloudFront,Azure Front Door
Container services,CaaS,https://cloud.google.com/kubernetes-engine,Google Kubernetes Engine (GKE),Secured and managed Kubernetes service with four-way autoscaling and multi-cluster support.,Amazon Elastic Kubernetes Service (EKS),Azure Kubernetes Service (AKS)
Data analytics,Business intelligence,https://cloud.google.com/looker,Looker,"Explore, share, and visualize your company's data so that you can make better business decisions.",Amazon QuickSight,Microsoft Power BI
Serverless,Build,https://cloud.google.com/appengine,App Engine,Build highly scalable applications on a fully managed serverless platform.,AWS Elastic Beanstalk,
Serverless,Build,https://firebase.google.com/docs/storage,Cloud Storage for Firebase,"Store and serve user-generated content from Firebase apps, such as photos or videos, including bandwidth-friendly transactions and automated ML, synced automatically in real time.",AWS Amplify Storage,Azure Blob Storage
Serverless,Build,https://firebase.google.com/docs/auth,Firebase Authentication,"Sign in users to your Firebase app, either by using FirebaseUI as a complete drop-in authentication solution, or by using the Firebase Authentication SDK to manually integrate one or several sign-in methods into your app.",Amazon Cognito,Azure App Service authentication (Easy Auth)
Serverless,Build,https://firebase.google.com/docs/hosting,Firebase App Hosting,"Provides fast and secure hosting for your Firebase web app, static and dynamic content, and microservices, including a generous free tier.",AWS Amplify Hosting,"GitHub Pages, Static Web Apps"
Storage,Block storage,https://cloud.google.com/products/block-storage,Google Cloud Hyperdisk,Store data from VM instances running in Compute Engine or GKE with Google Cloud's state-of-the-art block storage offering.,Amazon Elastic Block Store (EBS),Azure Disk Storage
Operations,Audit logging,https://cloud.google.com/audit-logs,Cloud Audit Logs,Log all user activity on Google Cloud.,AWS CloudTrail,Azure Activity logs
Developer tools,Asynchronous task handling,https://cloud.google.com/tasks,Cloud Tasks,"Control and observe asynchronous service requests between independent applications using this zonal, execution-control service.","Amazon Simple Queue Service (SQS), Amazon Simple Notification Service (SNS), Amazon Eventbridge","Azure Service Bus, Azure Queue Storage"
Serverless apps,Artificial intelligence & machine learning,https://firebase.google.com/products/vertex-ai-in-firebase,Vertex AI in Firebase,"Build generative AI features securely and directly into your mobile and web apps by calling the Gemini API in Vertex AI from the client side of your iOS, Android, web, and Flutter apps.",,Azure AI Studio
API management,API security,https://cloud.google.com/apigee/docs/api-security,Advanced API Security,"Help protect your APIs from security threats, including attacks from malicious clients and abuse.",,Azure Defender
API management,API portfolio management,https://cloud.google.com/apigee/docs/apihub/what-is-api-hub,Apigee API hub,"Manage, govern, and observe all your APIs in one place.",,API Center
API management,API management platform,https://cloud.google.com/apigee,Apigee,"Design, secure, analyze, and scale APIs anywhere with visibility and control.","Amazon Publisher Services, Mobile Ads",Azure API Management
Management tools,API management,https://cloud.google.com/api-gateway,API Gateway,"Develop, deploy, secure, and manage APIs with a fully managed gateway.",Amazon API Gateway,Azure API Management
Artificial intelligence & machine learning,Anti-money laundering assistance,https://cloud.google.com/anti-money-laundering-ai,Anti Money Laundering AI (AML AI),"An API that scores AML risk. Use it to identify more risk, more defensibly, with fewer false positives and reduced time during reviews.",Amazon Fraud Detector,
Distributed cloud,Air-gapped,https://cloud.google.com/distributed-cloud,Google Distributed Cloud,"Extend Google Cloud infrastructure and services to the edge and your data centers, without an internet connection.",,Azure Stack
Generative AI services,AI-powered assistant,https://cloud.google.com/products/gemini,Gemini for Google Cloud,"Help you be more productive and creative as your writing and coding assistant, creative designer, expert adviser, or data analyst.",Amazon Q Business,Azure Copilot
Generative AI services,AI coding assistant,https://cloud.google.com/gemini/docs/codeassist/overview,Gemini Code Assist,"AI-powered assistance to help your development team build, deploy, and operate applications throughout the software development lifecycle.",Amazon Q Developer,GitHub Copilot
Media,AI,Video AI,Video AI,Enable powerful content discovery and engaging video experiences.,Amazon Rekognition Video,Azure Video Analyzer for Media
Enterprise,Abuse prevention,https://cloud.google.com/recaptcha-enterprise,reCAPTCHA Enterprise,"Help protect your website from fraudulent activity, spam, and abuse without creating friction.","AWS WAF CAPTCHA, AWS Fraud",Microsoft Dynamics Fraud
